ticker,date,article_datetime,title,polarity,neg,neu,pos
AAPL,2023-11-02,2023-11-02T14:30:00+00:00,Here’s What Wall Street Analysts Think of Apple Stock Ahead of Earnings,0.0,0.0,1.0,0.0
AAPL,2023-11-02,2023-11-02T13:47:57+00:00,Dow Jones Rallies 250 Points After Jobless Claims; Palantir Surges 20% As Apple Earnings Approach,0.422,0.054,0.827,0.119
AAPL,2023-11-02,2023-11-02T13:42:00+00:00,Apple Reports Earnings Today. They’ll Show How Well the iPhone 15 Is Selling.,0.827,0.0,0.867,0.133
AAPL,2023-11-02,2023-11-02T13:37:18+00:00,Apple Stock Rises Ahead of Earnings Report,0.527,0.0,0.891,0.109
AAPL,2023-11-02,2023-11-02T13:24:52+00:00,7 Secret Semiconductor Stocks Ready to Grab the Spotlight,1.0,0.021,0.833,0.145
AAPL,2023-11-02,2023-11-02T12:00:00+00:00,3 Stocks to Hold for the Next 20 Years,-0.542,0.191,0.809,0.0
AAPL,2023-11-02,2023-11-02T11:59:56+00:00,Posthaste: Outlook for Canadian dollar darkens in world full of risks,0.76,0.085,0.824,0.091
AAPL,2023-11-02,2023-11-02T11:38:59+00:00,"Stocks rally, dollar slides as markets eye end to US rate hikes",0.727,0.038,0.908,0.055
AAPL,2023-11-02,2023-11-02T11:25:19+00:00,Apple's December quarter outlook in focus ahead of latest earnings report,0.991,0.037,0.833,0.13
AAPL,2023-11-02,2023-11-02T11:21:45+00:00,Trending tickers: Novo Nordisk | Moderna | Apple | Paypal,0.994,0.048,0.867,0.085
AAPL,2023-11-02,2023-11-02T11:09:00+00:00,Qualcomm Signals Smartphone Recovery. Where Wall Street Sees the Stock Going.,0.296,0.0,0.879,0.121
AAPL,2023-11-02,2023-11-02T10:31:00+00:00,"Apple earnings preview: iPhone 15 outlook in focus as China demand, US upgrade rates weaken",0.296,0.044,0.877,0.079
AAPL,2023-11-02,2023-11-02T10:00:17+00:00,Column: Google's dominance affects us all. Why is its trial being held in secret?,0.994,0.04,0.892,0.068
AAPL,2023-11-02,2023-11-02T09:30:00+00:00,"Proportion of India-made iPhones to double by 2024 while Foxconn's output in China to shrink, TF Securities analyst says",0.807,0.014,0.954,0.032
AAPL,2023-11-02,2023-11-02T09:06:00+00:00,Apple's Loaded Product Lineup Headed Into the Holidays Is Good News for Investors,0.865,0.025,0.808,0.166
AAPL,2023-11-02,2023-11-02T09:00:40+00:00,Apple hit by negative ‘groupthink mentality’,0.972,0.039,0.863,0.098
AAPL,2023-11-02,2023-11-02T05:59:11+00:00,"Futures higher after Fed decision, Apple earnings ahead - what's moving markets",0.985,0.062,0.836,0.102
AAPL,2023-11-02,2023-11-02T05:15:00+00:00,AI Is About to Remake the PC. These 2 Stocks Could Be Big Winners.,0.557,0.027,0.898,0.075
AAPL,2023-11-02,2023-11-02T05:00:00+00:00,Apple Earnings Will Be Scoured for News on iPhone 15 Sales,0.827,0.0,0.867,0.133
AAPL,2023-11-02,2023-11-02T04:45:59+00:00,"European stocks surge higher; Shell gains on buyback, BOE in spotlight",0.957,0.053,0.855,0.092
AAPL,2023-11-02,2023-11-02T04:05:01+00:00,India probing iPhone hacking complaints by opposition politicians - minister,-0.936,0.075,0.898,0.027
AAPL,2023-11-02,2023-11-02T03:59:31+00:00,India probing iPhone hacking complaints by opposition politicians - minister,-0.936,0.081,0.889,0.03
AAPL,2023-11-02,2023-11-02T00:00:00+00:00,"
Daniel Sparks  |  Nov 2, 2023
",0.718,0.0,0.786,0.214
AAPL,2024-02-01,2024-02-01T23:28:09+00:00,"Dow Jones Futures: Techs Rally On Meta, Amazon, China Woes Hit Apple; Jobs Report Looms",0.527,0.052,0.784,0.163
AAPL,2024-02-01,2024-02-01T23:23:00+00:00,Facebook Parent Meta Initiates Dividend as Growth Continues,0.273,0.0,0.909,0.091
AAPL,2024-02-01,2024-02-01T23:20:00+00:00,"Strong Session; After Hours Earnings from AAPL, AMZN, META &amp; More",0.998,0.02,0.833,0.147
AAPL,2024-02-01,2024-02-01T23:16:40+00:00,"Apple CEO Cook: Gen. AI a 'huge opportunity' for Apple, announcements coming this year",0.992,0.009,0.902,0.089
AAPL,2024-02-01,2024-02-01T23:16:40+00:00,"Apple's Cook: Gen. AI a 'huge opportunity' for Apple, announcements coming this year",0.992,0.009,0.903,0.089
AAPL,2024-02-01,2024-02-01T23:07:57+00:00,"Amazon and Meta surge after results, while Apple drops",0.995,0.024,0.83,0.146
AAPL,2024-02-01,2024-02-01T23:04:42+00:00,Apple Hints At a Coming AI Announcement,0.625,0.0,0.923,0.077
AAPL,2024-02-01,2024-02-01T23:00:07+00:00,Here's What Key Metrics Tell Us About Apple (AAPL) Q1 Earnings,0.969,0.006,0.924,0.07
AAPL,2024-02-01,2024-02-01T22:57:29+00:00,Apple Sees Weaker-Than-Expected Revenue in the Current Quarter,-0.5,0.095,0.868,0.037
AAPL,2024-02-01,2024-02-01T22:46:59+00:00,Apple’s China Slump Deepens Even as Total Sales Grow Again,0.996,0.05,0.838,0.112
AAPL,2024-02-01,2024-02-01T22:43:34+00:00,"Apple Tops December-Quarter Views, But China Sales Slide Worries Investors",0.671,0.0,0.807,0.193
AAPL,2024-02-01,2024-02-01T22:40:03+00:00,Apple (AAPL) Q1 Earnings and Revenues Surpass Estimates,0.995,0.008,0.896,0.096
AAPL,2024-02-01,2024-02-01T22:39:43+00:00,Apple 'needs to execute' as patience thins in Mag 7: Analyst,-0.077,0.026,0.95,0.024
AAPL,2024-02-01,2024-02-01T22:20:44+00:00,Why the Magnificent Seven are 'critical' to the market,0.959,0.0,0.871,0.129
AAPL,2024-02-01,2024-02-01T22:14:10+00:00,Zuckerberg announces $50bn payout for Meta shareholders amid child safety concerns,0.993,0.038,0.852,0.111
AAPL,2024-02-01,2024-02-01T22:13:57+00:00,Checkmate! Buying Qualcomm Stock Is a Winning Move in 2024.,0.999,0.035,0.793,0.173
AAPL,2024-02-01,2024-02-01T22:03:15+00:00,"More Big Tech Earnings Landed Today From Apple, Amazon and Meta Platforms",0.599,0.0,0.888,0.112
AAPL,2024-02-01,2024-02-01T21:57:05+00:00,40 Richest Countries in the World by Per Capita Net Worth,1.0,0.01,0.76,0.23
AAPL,2024-02-01,2024-02-01T21:57:00+00:00,"Apple Sales Rise in Holiday Quarter, Ending Streak of Shrinking Growth",0.0,0.0,1.0,0.0
AAPL,2024-02-01,2024-02-01T21:54:09+00:00,Apple Inc (AAPL) Posts Record EPS in Q1; Services Hit New High,0.998,0.017,0.811,0.172
AAPL,2024-02-01,2024-02-01T21:54:09+00:00,Warren Buffett's Apple Inc (AAPL) Posts Record EPS in Q1; Services Hit New High,0.998,0.017,0.815,0.169
AAPL,2024-02-01,2024-02-01T21:53:49+00:00,Apple ends yearlong sales slump with slight revenue rise in holiday-season period but stock slips,0.99,0.032,0.861,0.106
AAPL,2024-02-01,2024-02-01T21:48:28+00:00,Apple Stock Slips Despite Earnings Beat. Its Services Business Fell Short. China Sales Dropped 13%.,0.511,0.06,0.84,0.1
AAPL,2024-02-01,2024-02-01T21:45:00+00:00,"Apple earnings top expectations, China revenue disappoints",0.765,0.0,0.918,0.082
AAPL,2024-02-01,2024-02-01T21:42:07+00:00,"GLOBAL MARKETS-Stocks rally on earnings outlook, yields slip on banking concerns",0.992,0.062,0.821,0.117
AAPL,2024-02-01,2024-02-01T21:12:49+00:00,Amazon stock pops as earnings beat,0.976,0.01,0.912,0.078
AAPL,2024-02-01,2024-02-01T19:34:10+00:00,US STOCKS-Wall St rebounds from Fed-driven selloff; Big Tech earnings in view,0.986,0.039,0.869,0.093
AAPL,2024-02-01,2024-02-01T18:41:48+00:00,"Unlike Alphabet That Seems Locked In The AI Battle, Microsoft Shined With Its Quarterly Results",0.99,0.017,0.889,0.094
AAPL,2024-02-01,2024-02-01T18:07:38+00:00,Investors still need proof of profit from AI: Strategist,0.872,0.0,0.932,0.068
AAPL,2024-02-01,2024-02-01T17:33:36+00:00,Meta to report Q4 earnings as generative AI takes center stage,0.993,0.028,0.866,0.106
AAPL,2024-02-01,2024-02-01T17:26:25+00:00,Qualcomm Sees Modest 2024 Recovery After Glut; Shares Fall,0.973,0.063,0.845,0.092
AAPL,2024-02-01,2024-02-01T16:50:00+00:00,Apple Appears Poised for an Earnings Suprise: ETFs in Focus,0.999,0.015,0.854,0.132
AAPL,2024-02-01,2024-02-01T16:39:58+00:00,"Tech earnings: What Apple, Amazon, Meta need to succeed",0.992,0.016,0.911,0.072
AAPL,2024-02-01,2024-02-01T16:34:31+00:00,Amazon earnings preview: Expect updates on Prime Video ads and the future of AI,0.981,0.023,0.896,0.081
AAPL,2024-02-01,2024-02-01T16:28:24+00:00,The Road to a Trillion: 3 Stocks Next in Line for the Mega Milestone,0.998,0.042,0.84,0.119
AAPL,2024-02-01,2024-02-01T16:28:06+00:00,Apple earnings: China could be 'source of weakness',0.586,0.042,0.883,0.076
AAPL,2024-02-01,2024-02-01T16:23:46+00:00,Stock Market Today: Dow resumes record run as dip buyers pile into tech,0.992,0.045,0.824,0.131
AAPL,2024-02-01,2024-02-01T16:22:28+00:00,Apple Bulks Up Vision Pro Content for Headset Launch,0.852,0.023,0.827,0.151
AAPL,2024-02-01,2024-02-01T15:33:48+00:00,"Dow Jones Rises On Surprise Jobless Claims; Amazon, Apple To Report",0.586,0.098,0.642,0.26
AAPL,2024-02-01,2024-02-01T15:16:26+00:00,"Amazon, Apple, and Meta earnings preview: What to expect",0.477,0.029,0.918,0.053
AAPL,2024-02-01,2024-02-01T14:45:56+00:00,"More Big Tech Earnings Land Today: Apple, Amazon and Meta Are Coming",0.71,0.034,0.82,0.146
AAPL,2024-02-01,2024-02-01T14:40:17+00:00,"Tata, Pegatron in partnership talks for iPhone assembly in India's Tamil Nadu - sources",0.735,0.014,0.948,0.038
AAPL,2024-02-01,2024-02-01T13:58:48+00:00,"Dow Jones Futures Rise On Surprise Jobless Claims; Amazon, Apple To Report",0.586,0.098,0.642,0.26
AAPL,2024-02-01,2024-02-01T13:46:04+00:00,GLOBAL MARKETS-Wall Street eyes Apple after Fed-fuelled flop,0.78,0.083,0.824,0.093
AAPL,2024-02-01,2024-02-01T13:30:41+00:00,Apple Vision Pro: Game-Changing Device Or Pricey Misfire?,0.511,0.0,0.773,0.227
AAPL,2024-02-01,2024-02-01T13:01:15+00:00,PayPal's Plan to 'Shock the World' Has Begun to Take Shape,0.999,0.049,0.817,0.134
AAPL,2024-02-01,2024-02-01T12:47:37+00:00,Smartphone Demand Is in Focus for Apple. Qualcomm Had Mixed News.,0.141,0.018,0.955,0.026
AAPL,2024-02-01,2024-02-01T12:19:21+00:00,"Stocks steady after Fed sell-off, Amazon and Apple earnings on tap: Yahoo Finance Live",0.823,0.008,0.925,0.068
AAPL,2024-02-01,2024-02-01T11:55:48+00:00,"Apple, Amazon and Meta Take Spotlight as Stock Rally Wavers",0.993,0.072,0.819,0.109
AAPL,2024-02-01,2024-02-01T09:27:00+00:00,"These Stocks Are Moving the Most Today: Apple, Amazon, Qualcomm, Align, Nextracker, MaxLinear, and More",0.681,0.0,0.828,0.172
AAPL,2024-05-02,2024-05-02T22:51:30+00:00,"Apple Rallies on Upbeat Forecast, Record-Setting Stock Buyback",0.993,0.051,0.853,0.096
AAPL,2024-05-02,2024-05-02T22:06:03+00:00,Apple’s $110 Billion Stock Buyback Plan is Largest in US History,0.993,0.04,0.8,0.16
AAPL,2024-05-02,2024-05-02T22:06:01+00:00,"Apple sales fall less than expected, beating Wall Street estimates",-0.298,0.033,0.94,0.027
AAPL,2024-05-02,2024-05-02T22:02:00+00:00,"Big Quarterly Beats After the Bell: AAPL, SQ, COIN &amp; More",0.995,0.04,0.829,0.13
AAPL,2024-05-02,2024-05-02T21:47:57+00:00,Apple CEO Tim Cook boasts of future AI plans after earnings beat,0.975,0.0,0.936,0.064
AAPL,2024-05-02,2024-05-02T21:45:10+00:00,"Dow Jones Rallies As Much As 350 Points After Wild Wednesday; Apple Up Ahead Of Earnings, Carvana Soars",0.557,0.0,0.827,0.173
AAPL,2024-05-02,2024-05-02T21:40:07+00:00,Apple (AAPL) Beats Q2 Earnings and Revenue Estimates,0.994,0.012,0.897,0.091
AAPL,2024-05-02,2024-05-02T21:37:54+00:00,Paramount has spent a decade as the source of buyout rumors. That might finally come to an end.,0.955,0.046,0.882,0.073
AAPL,2024-05-02,2024-05-02T21:31:42+00:00,"Apple Edges Above Wall Street's Targets And Hikes Dividend, Share Buybacks",0.0,0.0,1.0,0.0
AAPL,2024-05-02,2024-05-02T18:19:30+00:00,3 5G Technology Stocks With the Potential to Make You an Overnight Millionaire,0.998,0.017,0.861,0.123
AAPL,2024-05-02,2024-05-02T16:51:10+00:00,Indexes Rebound After Wild Wednesday; Apple Up Ahead Of Earnings While Carvana Soars On Results,0.593,0.054,0.834,0.112
AAPL,2024-05-02,2024-05-02T16:26:26+00:00,20 Fastest Growing Fintech Companies In 2024,0.999,0.029,0.861,0.11
AAPL,2024-05-02,2024-05-02T16:20:34+00:00,25 Most Profitable Companies in the US,1.0,0.022,0.865,0.113
AAPL,2024-05-02,2024-05-02T16:11:44+00:00,Top 25 Stocks in the S&amp;P 500 by Index Weight Right Now,0.999,0.045,0.843,0.112
AAPL,2024-05-02,2024-05-02T15:04:00+00:00,Apple to extend new core technology fee to iPadOS apps,0.5,0.026,0.938,0.036
AAPL,2024-05-02,2024-05-02T15:00:00+00:00,Qorvo Stock Is Tumbling After Earnings. There’s More Bad News for Apple.,0.0,0.0,1.0,0.0
AAPL,2024-05-02,2024-05-02T14:32:00+00:00,US STOCKS-Wall Street rises as Fed rate-hike concerns alleviate,0.979,0.062,0.833,0.105
AAPL,2024-05-02,2024-05-02T14:00:00+00:00,3 Stocks Gunning for Trillion-Dollar Status: The Players to Own Now,0.999,0.014,0.837,0.149
AAPL,2024-05-02,2024-05-02T11:36:59+00:00,Dow Jones Futures Rise In Stock Market's Day 2 Fed Reaction; Carvana Skyrockets,0.527,0.0,0.839,0.161
AAPL,2024-05-02,2024-05-02T11:25:33+00:00,Apple’s Earnings Come With a Low Bar and Big Buyback Hopes,0.998,0.06,0.822,0.118
AAPL,2024-05-02,2024-05-02T11:05:00+00:00,7 D-Rated Tech Stocks to Dump Now,0.997,0.044,0.867,0.089
AAPL,2024-05-02,2024-05-02T10:00:00+00:00,Chip Stocks on Sale: 3 Semiconductor Plays to Buy the Dip,0.998,0.017,0.857,0.125
AAPL,2024-05-02,2024-05-02T10:00:00+00:00,The 3 Best ETFs to Beat the S&amp;P 500 Through 2030,0.998,0.02,0.846,0.134
AAPL,2024-05-02,2024-05-02T08:05:00+00:00,Is Apple Stock Headed to $250? 1 Wall Street Analyst Thinks So.,0.512,0.078,0.84,0.082
AAPL,2024-05-02,2024-05-02T00:00:00+00:00,"AAPL Stock Earnings: Apple Beats EPS, Beats Revenue for Q2 2024",0.296,0.0,0.909,0.091
AAPL,2024-05-02,2024-05-02T00:00:00+00:00,"
Danny Vena  |  May 2, 2024
",0.0,0.0,1.0,0.0
AAPL,2024-05-02,2024-05-02T00:00:00+00:00,7 D-Rated Tech Stocks to Dump Now,0.0,0.0,1.0,0.0
AAPL,2024-08-01,2024-08-01T22:48:36+00:00,"Dow Jones Futures Fall As Apple, Amazon Follow Market Expectations Breaker; Nvidia Tumbles",-0.361,0.129,0.803,0.068
AAPL,2024-08-01,2024-08-01T22:32:00+00:00,"Markets Tumble on... Recession Fears? Plus AAPL, AMZN, INTC Earnings",0.99,0.045,0.858,0.096
AAPL,2024-08-01,2024-08-01T22:08:02+00:00,"Apple Beats June-Quarter Targets On Services, iPad Sales Strength",0.735,0.0,0.772,0.228
AAPL,2024-08-01,2024-08-01T22:00:12+00:00,Apple (AAPL) Q3 Earnings: Taking a Look at Key Metrics Versus Estimates,0.961,0.006,0.933,0.061
AAPL,2024-08-01,2024-08-01T20:00:00+00:00,3 Financial Stocks to Buy in August and Add on Dips,1.0,0.025,0.775,0.2
AAPL,2024-08-01,2024-08-01T19:11:23+00:00,Apple Says US Smartphones Suit Has ‘No Relation to Reality’,-0.835,0.111,0.81,0.08
AAPL,2024-08-01,2024-08-01T17:23:31+00:00,3 Warren Buffett Stocks to Buy Instead of Bank of America,0.999,0.017,0.861,0.122
AAPL,2024-08-01,2024-08-01T17:13:09+00:00,Apple asks US judge to toss antitrust lawsuit,-0.778,0.196,0.758,0.047
AAPL,2024-08-01,2024-08-01T16:40:54+00:00,Sales of this Apple Device Most Likely Grew. It’s Not the iPhone.,0.915,0.0,0.915,0.085
AAPL,2024-08-01,2024-08-01T15:47:10+00:00,Apple to report Q3 earnings as Wall Street eyes China sales,0.992,0.006,0.915,0.079
AAPL,2024-08-01,2024-08-01T14:14:42+00:00,"Apple, Amazon Results Are Crucial for Nasdaq 100’s Next Leg",0.998,0.035,0.852,0.113
AAPL,2024-08-01,2024-08-01T13:55:54+00:00,"Dow Jones Rises On Jobless Claims; Meta Surges, Arm Dives On Earnings (Live Coverage)",0.0,0.0,1.0,0.0
